ISIN,Company_Name,BSE_Scrip_Code,NSE_Symbol
INE509J01013,K K Fincorp Limited    ,503669,
INE509K01011,TECHNOFAB ENGINEERING LIMITED ,533216,TECHNOFAB
INE516H01012,RICHA INDUSTRIES LTD.  ,532766,
INE518D01025,SEVEN HILL INDUSTRIES LIMITED ,511760,
INE519N01014,MIDWEST GOLD LTD.      ,526570,
INE521D01011,MAFATLAL LUBRICANTS LTD.      ,520149,
INE524D01015,MEGA FIN (INDIA) LTD.  ,532105,
INE528C01018,THIRDWAVE FINANCIAL INTERMEDIA,531652,
INE528E01022,SIKOZY REALTORS LIMITED,524642,
INE530A01026,GONTERMANN-PEIPERS (INDIA) LTD,504701,
INE531X01018,SAI CAPITAL LTD.,531931,
INE532B01020,ISTREET NETWORK LIMITED,524622,
INE537B01011,CONSTRONICS INFRA LIMITED     ,523844,
INE540D01011,S.M.ENERGY TEKNIK & ELECTRONIC,522042,
INE545B01022,CONTINENTAL CONTROLS LTD.     ,531460,
INE545N01019,SHANTANU SHEOREY AQUAKULT LTD.,531925,
INE546D01018,TOKYO FINANCE LTD.     ,531644,
INE550L01013,OLYMPIC CARDS LTD.     ,534190,
INE553P01018,Devhari Exports (India) Limite,539197,
INE554C01014,LORDS CHEMICALS LTD.   ,530039,
INE554H01021,VAGHANI TECHNO-BUILD LTD.     ,531676,
INE556Z01010,U. H. ZAVERI LIMITED   ,541338,
INE559B01023,NAKODA LIMITED  ,521030,NAKODA
INE563D01013,AADI INDUSTRIES LTD.   ,530027,
INE563S01011,Ambition Mica Limited  ,539223,
INE568C01014,MONICA ELECTRONICS LTD.,523544,
INE570B01012,ADITYA ISPAT LTD.      ,513513,
INE574D01010,GENOMIC VALLEY BIOTECH LIMITED,539206,
INE576D01015,UNJHA FORMULATIONS LTD.,531762,
INE578B01015,E.COM INFOTECH (I) LTD.,531533,
INE578R01011,Bangalore Fort Farms Limited  ,539120,
INE579D01019,SITA ENTERPRISES LTD.  ,512589,
INE583M01012,BOTHRA METALS & ALLOYS LTD.   ,535279,
INE592I01029,METKORE ALLOYS & INDUSTRIES LT,532990,METKORE
INE592O01019,Spicy Entertainment and Media ,540084,
INE594O01015,R J BIO-TECH LTD,536456,
INE595D01015,GOLDEN CARPETS LTD.    ,531928,
INE595G01018,SWARNA SECURITIES LTD. ,531003,
INE596O01010,NEWEVER TRADE WINGS LTD,536644,
INE602H01010,UNIROYAL MARINE EXPORTS LTD.  ,526113,
INE605F01017,N.R.INTERNATIONAL LTD. ,532623,
INE607F01039,UNIVERSAL CREDIT & SECURITIES ,531963,
INE609B01018,FIRST CUSTODIAN FUND (INDIA) L,511122,
